region,PSY_z,SUD_z,shared_alteration,PSY_contribution_%
CTX_1,-0.048,-0.18000000000000002,-0.11400000000000002,21.052631578947363
CTX_2,-0.0125,-0.08,-0.04625,13.513513513513514
CTX_3,-0.002,-0.29833333333333334,-0.15016666666666667,0.6659267480577136
CTX_4,0.035,-0.07666666666666666,-0.02083333333333333,31.343283582089555
CTX_5,-0.025,-0.043333333333333335,-0.034166666666666665,36.585365853658544
CTX_6,-0.059500000000000004,-0.21,-0.13475,22.07792207792208
CTX_7,-0.0495,-0.18166666666666664,-0.11558333333333332,21.41312184571017
CTX_8,-0.0485,-0.19833333333333333,-0.12341666666666667,19.648885887913572
CTX_9,-0.074,-0.09666666666666668,-0.08533333333333334,43.35937499999999
CTX_10,-0.0075,-0.12166666666666666,-0.06458333333333333,5.806451612903226
CTX_11,-0.04,-0.14666666666666667,-0.09333333333333334,21.428571428571427
CTX_12,-0.009500000000000001,-0.10833333333333334,-0.05891666666666667,8.062234794908063
CTX_13,-0.038500000000000006,-0.22499999999999998,-0.13174999999999998,14.611005692599624
CTX_14,-0.054,-0.21333333333333335,-0.13366666666666668,20.19950124688279
CTX_15,-0.0385,-0.10666666666666665,-0.07258333333333332,26.52123995407578
CTX_16,-0.006,-0.2183333333333333,-0.11216666666666665,2.6745913818722147
CTX_17,-0.051000000000000004,-0.24166666666666667,-0.14633333333333334,17.425968109339408
CTX_18,-0.034999999999999996,-0.105,-0.06999999999999999,25.0
CTX_19,-0.0115,-0.16666666666666666,-0.08908333333333333,6.454630495790459
CTX_20,0.0905,-0.023333333333333334,0.03358333333333333,79.50219619326501
CTX_21,0.0465,-0.1366666666666667,-0.04508333333333334,25.386715195632387
CTX_22,-0.059000000000000004,-0.22666666666666666,-0.14283333333333334,20.653442240373394
CTX_23,0.018500000000000003,-0.22999999999999998,-0.10574999999999998,7.444668008048291
CTX_24,-0.024,-0.18166666666666664,-0.10283333333333332,11.669367909238252
CTX_25,-0.062,-0.18833333333333332,-0.12516666666666665,24.766977363515316
CTX_26,-0.003999999999999998,-0.24666666666666667,-0.12533333333333332,1.5957446808510634
CTX_27,-0.011500000000000003,-0.30333333333333334,-0.15741666666666668,3.652726310217047
CTX_28,0.013,-0.18833333333333332,-0.08766666666666666,6.456953642384105
CTX_29,0.0025,-0.25166666666666665,-0.12458333333333332,0.9836065573770493
CTX_30,-0.046,-0.20333333333333334,-0.12466666666666668,18.449197860962567
CTX_31,-0.0235,-0.10000000000000002,-0.06175000000000001,19.028340080971656
CTX_32,-0.002999999999999999,-0.16166666666666665,-0.08233333333333333,1.821862348178137
CTX_33,-0.014000000000000002,-0.07333333333333333,-0.043666666666666666,16.03053435114504
CTX_34,-0.0645,-0.24833333333333332,-0.15641666666666665,20.61800745871071
CTX_35,-0.037,-0.155,-0.096,19.270833333333332
CTX_36,-0.0315,-0.043333333333333335,-0.03741666666666667,42.093541202672604
CTX_37,0.0075,-0.20166666666666663,-0.09708333333333331,3.5856573705179287
CTX_38,0.029,-0.07166666666666667,-0.021333333333333336,28.80794701986755
CTX_39,-0.0665,-0.02,-0.043250000000000004,76.878612716763
CTX_40,-0.0805,-0.26833333333333337,-0.1744166666666667,23.076923076923077
CTX_41,-0.0435,-0.24666666666666667,-0.14508333333333334,14.991384261918435
CTX_42,-0.08,-0.26333333333333336,-0.1716666666666667,23.300970873786405
CTX_43,-0.069,-0.12666666666666668,-0.09783333333333334,35.26405451448041
CTX_44,0.023999999999999997,-0.14333333333333334,-0.05966666666666667,14.342629482071711
CTX_45,-0.08549999999999999,-0.17499999999999996,-0.13024999999999998,32.82149712092131
CTX_46,-0.027499999999999997,-0.10000000000000002,-0.06375,21.56862745098039
CTX_47,-0.08600000000000001,-0.12666666666666668,-0.10633333333333334,40.43887147335423
CTX_48,-0.018,-0.23500000000000001,-0.1265,7.114624505928853
CTX_49,-0.0175,-0.10666666666666667,-0.06208333333333334,14.093959731543624
CTX_50,-0.042,-0.20666666666666667,-0.12433333333333334,16.890080428954423
CTX_51,0.009999999999999998,-0.18166666666666667,-0.08583333333333333,5.217391304347825
CTX_52,-0.012000000000000004,-0.07333333333333333,-0.04266666666666667,14.062500000000004
CTX_53,-0.002,-0.11833333333333335,-0.060166666666666674,1.6620498614958445
CTX_54,0.066,-0.043333333333333335,0.011333333333333334,60.36585365853659
CTX_55,0.0285,-0.09000000000000001,-0.030750000000000006,24.050632911392405
CTX_56,-0.045,-0.20166666666666666,-0.12333333333333332,18.243243243243242
CTX_57,0.009500000000000001,-0.215,-0.10275,4.23162583518931
CTX_58,-0.019,-0.18333333333333335,-0.10116666666666667,9.390444810543656
CTX_59,-0.0585,-0.18000000000000002,-0.11925000000000001,24.528301886792452
CTX_60,-0.004,-0.17333333333333334,-0.08866666666666667,2.2556390977443606
CTX_61,-0.028499999999999998,-0.24166666666666667,-0.13508333333333333,10.54904380012338
CTX_62,0.0235,-0.20666666666666667,-0.09158333333333334,10.209992758870385
CTX_63,-0.035500000000000004,-0.22666666666666668,-0.13108333333333333,13.541004450095361
CTX_64,-0.0685,-0.2283333333333333,-0.14841666666666664,23.076923076923084
CTX_65,-0.059,-0.09166666666666666,-0.07533333333333334,39.159292035398224
CTX_66,-0.045,-0.19499999999999998,-0.12,18.75
CTX_67,-0.046,-0.12333333333333335,-0.08466666666666667,27.165354330708663
CTX_68,-0.036500000000000005,-0.16,-0.09825,18.575063613231553
L_Thalamus,-0.037,-0.11666666666666668,-0.07683333333333334,24.07809110629067
L_Caudate,-0.0095,-0.13999999999999999,-0.07475,6.354515050167224
L_Putamen,0.013000000000000001,-0.03666666666666666,-0.01183333333333333,26.174496644295303
L_Pallidum,0.02,-0.05833333333333334,-0.019166666666666672,25.53191489361702
L_Hippocampus,-0.157,-0.20500000000000004,-0.18100000000000002,43.37016574585635
L_Amygdala,-0.0675,-0.19499999999999998,-0.13124999999999998,25.714285714285722
L_Accumbens,-0.041,-0.015,-0.028,73.21428571428572
R_Thalamus,-0.0535,-0.13,-0.09175,29.155313351498634
R_Caudate,-0.00705,-0.11,-0.058525,6.023067065356685
R_Putamen,0.0115,0.01,0.01075,53.48837209302326
R_Pallidum,0.0135,-0.09666666666666668,-0.04158333333333334,12.254160363086232
R_Hippocampus,-0.14200000000000002,-0.18833333333333335,-0.16516666666666668,42.986881937436934
R_Amygdala,-0.09,-0.135,-0.1125,40.0
R_Accumbens,-0.0455,-0.09000000000000001,-0.06775,33.57933579335793
